team_name,elo
Stars,1157.68
Packers,1525.33
Atlanta Hawks,1580.79
Wizards,1510.18
Baltimore,1268.15
Boston Celtics,1524.57
Brooklyn Nets,1457.74
Clippers,1362.5
Wizards,1516.37
Spirits,1457.71
Charlotte Hornets,1513.0
Pelicans,1553.06
Chicago Bulls,1591.05
Charlotte Hornets,1400.73
Wizards,1253.26
Stags,1482.56
Wizards,1361.59
Kings,1401.92
Cleveland Cavaliers,1692.09
Rebels,1287.2
Dallas Mavericks,1556.58
Denver Nuggets,1422.36
Detroit Pistons,1461.08
Spurs,1337.09
Nuggets,1618.89
Denver,1171.15
Nuggets,1399.27
Falcons,1199.12
Floridians,1359.44
Pistons,1433.4
Golden State Warriors,1822.29
Houston Rockets,1654.64
Spirits,1218.21
Pacers,1505.92
Indiana Pacers,1504.87
Jets,1312.33
Olympians,1439.17
Kings,1438.97
Kings,1469.87
Colonels,1546.78
Los Angeles Clippers,1694.54
Los Angeles Lakers,1283.24
Stars,1437.88
Memphis Grizzlies,1608.35
Miami Heat,1455.86
Milwaukee Bucks,1443.27
Minnesota Timberwolves,1263.96
Hawks,1467.24
Floridians,1208.36
Sounds,1260.14
Sounds,1374.57
Sounds,1296.17
Lakers,1461.14
Floridians,1363.63
Condors,1305.55
Nets,1288.59
Nets,1326.91
Sounds,1404.6
New Orleans Pelicans,1401.83
Jazz,1349.86
New Orleans Pelicans,1499.18
New Orleans Pelicans,1526.57
Nets,1613.92
New York Knicks,1255.68
Nets,1290.35
Squires,1530.78
Oklahoma City Thunder,1583.23
Orlando Magic,1311.89
Philadelphia 76ers,1276.19
Phoenix Suns,1466.84
Warriors,1569.99
Ironmen,1111.46
Portland Trail Blazers,1556.74
Steamrollers,1230.7
Condors,1222.63
Condors,1285.8
Kings,1462.62
Spurs,1622.06
Sacramento Kings,1418.28
San Antonio Spurs,1720.96
Sails,1327.73
Clippers,1413.18
Rockets,1497.47
Sails,1365.52
Warriors,1410.29
Redskins,1300.28
Spirits,1449.84
Bombers,1395.82
Hawks,1526.5
Sixers,1559.75
Spurs,1337.95
Toronto Raptors,1500.39
Huskies,1208.31
Hawks,1398.84
Utah Jazz,1555.29
Stars,1458.46
Grizzlies,1352.94
Squires,1284.59
Washington Wizards,1546.1
Waterloo,1330.13
Squires,1423.32
Wizards,1560.21
Capitols,1370.74
